"subjectID","subjectTitle","iconStyle","pdf","keywords","linked","references","favourite","subjectTagline"
"48","IV Fluid Management","2","IVFluidMx","Emergency Gastroenterology Surgery Medicine sepsis dehydration fluids nacl hartmanns","DeterioratingPatientAx AbdoPainAx FeverAx HaematuriaAx HaematemesisAx HaemoptysisAx LowUrineOutputAx RectalBleedingAx ConstipationMx EpistaxisMx HeartFailureMx HypercalcaemiaMx HyponatremiaMx NauseaMx Sepsis6 TachycardiaMx IVFluids ADJUSTEDBODYWEIGHTinfo AKINCLASSIFICATIONinfo ANIONinfo ANIONCorrectedinfo BMIinfo BSAinfo BUNinfo CKD-EPIinfo CREATININECLEARANCEinfo FREEWATERDEFICITinfo HYPONATRAEMIANADEFICIT-ADULTinfo IDEALBODYWEIGHTinfo KIDNEYFAILUREinfo MAPinfo MEWSinfo NEWS2info SODIUMCORRECTIONinfo SERUMOSMOLALITYinfo URINEANIONGAPinfo","National Institute for Health and Care Excellence$$NICE Clinical Guideline CG174 Intravenous fluid therapy in adults in hospital 2017$$https://www.nice.org.uk/guidance/cg174££British National Formulary$$Guidance on Intravenous Infusions 2025$$https://bnf.nice.org.uk/medicines-guidance/guidance-on-intravenous-infusions/££Health Improvement Scotland Right Decision Service$$Guidance for Intravenous fluid and electrolyte prescription in adults 2023$$https://rightdecisions.scot.nhs.uk/nhs-borders-clinical-guidelines/drugs-and-therapeutics/guidance-for-intravenous-fluid-and-electrolyte-prescription-in-adults/","0","Evidence based guidance on the management of intravenous fluids"
"49","Nausea Management","2","NauseaMx","Gastroenterology Geriatrics Surgery Medicine antiemetics vomiting sick pallitaivecare","AbdoPainAx ChestPainAx FeverAx HaematemesisAx HeadacheAx AlcoholMx ConstipationMx EpistaxisMx HeadInjury HyperglycaemiaMx HyperkalemiaMx HypocalcaemiaMx HypoglycaemiaMx IVFluidMx PainMx ParacetamolOverdoseMx AXR NGTube","British Medical Journal Best Practice$$Assessment of nausea and vomiting, adults 2025$$https://bestpractice.bmj.com/topics/en-gb/631££National Institute for Health and Care Excellence$$NICE CKS Palliative care - nausea and vomiting 2025$$https://cks.nice.org.uk/topics/palliative-care-nausea-vomiting/££British National Formulary$$Nausea and labyrinth disorders 2025$$https://bnf.nice.org.uk/treatment-summaries/nausea-and-labyrinth-disorders/","0","Evidence based management strategy for nausea"
"50","Ophthalmology Management","2","OphthalmologyMx","Surgery eyes redeye conjunctivitis dryeye lossofvision visualdisturbance opticneuritis diplopia GCA acuity snellen ophthalmology","OphthalmologyEx AGEADJUSTEDCRPESRinfo GCAinfo ROPERHALLinfo","The College of Optometrists 2022$$College of Optometrists Clinical Management Guidelines 2025$$https://www.college-optometrists.org/clinical-guidance/clinical-management-guidelines££The College of Optometrists 2022$$Guidance for professional practice$$https://www.college-optometrists.org/clinical-guidance/guidance/knowledge,-skills-and-performance££National Institute for Health and Care Excellence 2021$$How should I assess someone with a red eye? 2021 $$https://cks.nice.org.uk/topics/red-eye/diagnosis/diagnosis/","0","Evidence based guidance on the investigation and management of common conditions affecting the eye"
"51","Pain Management","2","PainMx","Orthopaedics Geriatrics Surgery Medicine Analgesia relief opiate paracetamol discomfort","DeterioratingPatientAx AbdoPainAx ChestPainAx ConfusionAx HeadacheAx LegSwellingAx PainfulLimbAx ConstipationMx DVTPEMx EpistaxisMx HeadInjury NauseaMx PneumothoraxMx HeadacheMx MSKAnatomy MSKXray AWOLSCOREinfo AbbeyPainScaleinfo BPSinfo PAINADVANCEDDEMENTIAinfo","National Institute for Health and Care Excellence$$NICE guideline NG193 Chronic pain (primary and secondary) in over 16s: assessment 2021$$https://www.nice.org.uk/guidance/ng193££The British Pain Society$$Guidelines for Pain Management Programmes for Adults 2021$$https://www.britishpainsociety.org/static/uploads/resources/files/PMP_guidelines_8QD8FJF.pdf££British National Formulary$$Pain, chronic 2025$$https://bnf.nice.org.uk/treatment-summaries/pain-chronic/","0","Evidence based management strategy for pain"
"52","Paracetamol Overdose Management","2","ParacetamolOverdoseMx","Emergency Gastroenterology Medicine NAC liver failure","HaematemesisAx LowGCSAx AlcoholMx NauseaMx ABGAnalysis ClottingProducts KINGSCRITERIAinfo MDIinfo WESTHAVENinfo","Toxbase$$Paracetamol 2025$$https://www.toxbase.org/login/?ReturnUrl=/££British Medical Journal Best Practice$$Paracetamol overdose in adults 2025$$https://bestpractice.bmj.com/topics/en-gb/3000110££NHS Lanarkshire$$SNAP 12-hour N-acetylcysteine regimen for treatment of Paracetamol OD 2020$$https://rightdecisions.scot.nhs.uk/media/1525/acetylcysteine-snap-protocol-for-treatment-of-paracetamol-overdose.pdf","0","Evidence based management strategy for paracetamol overdose"
"53","Pneumonia Management","2","PneumoniaMx","Respiratory Medicine LRTI chest sepsis sputum cough fever SOB","DeterioratingPatientAx ChestPainAx FeverAx HaemoptysisAx SOBAx COPDExacerbationMx Sepsis6 ABGAnalysis CXR PleuralFluidAnalysis OxygenDelivery GOLDinfo CURB-65info LIGHT'SCRITERIAinfo MEWSinfo NEWS2info PackYearsCalcinfo","National Institute for Health and Care Excellence$$NICE Clinical Guideline CG191 Pneumonia in adults: diagnosis and management 2023$$https://www.nice.org.uk/guidance/cg191££National Institute for Health and Care Excellence$$NICE CKS Scenario: Community-acquired pneumonia 2025$$https://cks.nice.org.uk/topics/chest-infections-adult/management/community-acquired-pneumonia/££Cilloniz C, Torres A, Niederman M.$$Management of pneumonia in critically ill patients 2021$$https://www.bmj.com/content/375/bmj-2021-065871","0","Evidence based management strategy for pneumonia"
"54","Pneumothorax Management","2","PneumothoraxMx","Emergency Respiratory Medicine tension shortnessofbreath chestpain chestdrain pleural","DeterioratingPatientAx ChestPainAx HaemoptysisAx SOBAx AcuteAsthmaMx COPDExacerbationMx PainMx TachycardiaMx ABGAnalysis CXR OxygenDelivery MEWSinfo NEWS2info","British Thoracic Society$$British Thoracic Society Guideline for pleural disease 2023$$https://thorax.bmj.com/content/78/Suppl_3/s1££British Medical Journal Best Practice$$Pneumothorax 2024$$https://bestpractice.bmj.com/topics/en-gb/3000083££Brown S, Ball E, Perrin K et al$$Conservative versus Interventional Treatment for Spontaneous Pneumothorax 2020$$https://www.nejm.org/doi/full/10.1056/NEJMoa1910775","0","Evidence based management strategy for pneumothorax"
"55","Primary Headache Management","2","HeadacheMx","Neurology Medicine migraine tension","HeadacheAx LowGCSAx PainMx ClottingProducts CSFAnalysis NeuroAnatomy NeuroExam ACR-EULARPMRinfo OTTAWASAHRULEinfo","Headaches in over 12s: diagnosis and management CG150$$Headaches in over 12s: diagnosis and management 2025$$https://www.nice.org.uk/Guidance/CG150££Royal College of Emergency Medicine Learning $$Primary headache 2022$$https://www.rcemlearning.co.uk/reference/primary-headache££British Association for Study of the Headache$$National Headache Management System for Adults 2019$$https://bash.org.uk/wp-content/uploads/2023/02/01_BASHNationalHeadache_Management_SystemforAdults_2019_guideline_versi.pdf","0","Evidence based management strategy for primary headache"
"56","Sedation Management","2","SedationMx","Neurology Geriatrics Medicine agitation psychosis epilepsy confusion rapid tranquilisation","ConfusionAx LowGCSAx CapacityConsent NeuroAnatomy NeuroExam 4ASDELERIUMinfo AMT-10info AMT-4info AWOLSCOREinfo GCSinfo GCSPUPILinfo MEWSinfo NEWS2info","National Institute for Health and Care Excellence$$NICE Guideline NG10 Violence and aggression: short-term management in mental health, health and community settings 2015$$https://www.nice.org.uk/guidance/ng10££National Institute for Health and Care Excellence$$NICE Clinical Guideline CG103 Delirium: prevention, diagnosis and management in hospital and long-term care 2023$$https://www.nice.org.uk/Guidance/CG103££National Institute for Health and Care Excellence$$NICE CKS Delirium: Management 2023$$https://cks.nice.org.uk/topics/delirium/management/management/","0","Overview of different types of sedation and general management advice"
"57","Sepsis 6","2","Sepsis6","Emergency Microbiology Surgery Medicine infection detriorating rash septicaemia fever","DeterioratingPatientAx AbdoPainAx ChestPainAx ConfusionAx FallsAx FeverAx LowGCSAx LowUrineOutputAx SOBAx COPDExacerbationMx HyperglycaemiaMx IVFluidMx PneumoniaMx TachycardiaMx ABGAnalysis AKI Gentamicin IVFluids Teicoplanin Vancomycin 4ASDELERIUMinfo AGEADJUSTEDCRPESRinfo ALT-70info AMT-10info AMT-4info APACHEIISCOREinfo AWOLSCOREinfo CENTORinfo FeverPAINinfo ISTHCRITERIAinfo LRINECinfo MAPinfo MEWSinfo NEWS2info PEDISinfo mSOFAinfo QSOFAinfo PleuralFluidAnalysis DecompensatedCirrhosisMx ColitisMx OxygenDelivery","National Institute for Health and Care Excellence$$NICE Guideline NG51 Sepsis: recognition, diagnosis and early management 2024$$https://www.nice.org.uk/guidance/ng51££National Institute for Health and Care Excellence$$NICE CKS Sepsis: Management$$https://cks.nice.org.uk/topics/sepsis/management/management/££The UK Sepsis Trust$$Clinical Tools 2025$$https://sepsistrust.org/healthcare-professionals/clinical-tools/","0","Information on sedation strategies for use in aggressive patients or insomnia"
"58","Stroke Management","2","StrokeMx","Emergency Neurology Medicine NIHSS CVA TIA disability weakness","DeterioratingPatientAx ConfusionAx FallsAx LowGCSAx StrokeAx NeuroAnatomy NeuroExam NGTube 6MINUTEWALKDISTANCEinfo ABCD2info CHA2DS2-VAScScoreinfo MEWSinfo NEWS2info NIHSSinfo MODIFIEDRANKINinfo","National Institute for Health and Care Excellence$$NICE Guideline NG 128 Stroke and TIA in over 16s: diagnosis and initial management 2022$$https://www.nice.org.uk/guidance/ng128££Intercollegiate Stroke Working Party$$National Clinical Guideline for Stroke for the UK and Ireland 2023$$https://www.strokeguideline.org/contents/?_gl=1*qn7jg6*_up*MQ..*_ga*NzUyMDU5OTU2LjE3NTE3MzgxOTA.*_ga_EE3BZMVLRT*czE3NTE3MzgxODkkbzEkZzAkdDE3NTE3MzgxODkkajYwJGwwJGgw££National Institute of Neurological Disorders and Stroke$$NIH Stroke Scale 2024$$https://www.ninds.nih.gov/sites/default/files/documents/NIH-Stroke-Scale_updatedFeb2024_508.pdf","0","Evidence based management strategy for stroke"
"59","Tachycardia Management","2","TachycardiaMx","Emergency Cardiology Medicine palpitations syncope fast ALS SVT AF","DeterioratingPatientAx ChestPainAx FallsAx FeverAx HaematemesisAx HaemoptysisAx ACSMx ALS BradycardiaMx DVTPEMx HyperkalemiaMx HypokalemiaMx HypomagnesemiaMx IVFluidMx PneumothoraxMx Sepsis6 TransfusionReactionMx ABGAnalysis CXR ECG IVFluids 4PEPSinfo BRUGADACRITERIAinfo CHA2DS2-VAScScoreinfo CORRECTEDQTinfo MEWSinfo NEWS2info SGARBOSSAMODIFIEDinfo WELLSPEinfo AFMx","Resuscitation Council UK$$Adult Tachycardia 2021$$https://www.resus.org.uk/sites/default/files/2021-04/Tachycardia Algorithm 2021.pdf££Royal College of Emergency Medicine Learning $$Tachycardias in the Resuscitation Room 2023$$https://www.rcemlearning.co.uk/reference/tachycardias-in-the-resuscitation-room/££British Medical Journal Best Practice$$Assessment of tachycardia 2025$$https://bestpractice.bmj.com/topics/en-gb/830","0","Flowchart on the management of tachycardia"
"60","Transfusion Indication","2","TransfusionMx","Haematology Surgery Medicine blood anaemia bleeding haemorrhage red","HaematuriaAx HaematemesisAx HaemoptysisAx EpistaxisMx TransfusionReactionMx TransfusionConsent FORRESTinfo GLASGOWBLATCHFORDinfo ROCKALLPOST-ENDOSCOPYinfo ROCKALLPRE-ENDOSCOPYinfo","National Institute for Health and Care Excellence$$NICE Guideline NG24 Blood transfusion 2015$$https://www.nice.org.uk/guidance/ng24/chapter/recommendations££British Society for Haematology$$Haematological management of major haemorrhage 2023$$https://b-s-h.org.uk/guidelines/guidelines/haematological-management-of-major-haemorrhage-2022££Joint United Kingdom (UK) Blood Transfusion and Tissue Transplantation Services Professional Advisory Committee$$Transfusion guidelines 2025$$https://www.transfusionguidelines.org/","0","Guidance on the transfusion of blood and blood products"
"61","Transfusion Reaction Management","2","TransfusionReactionMx","Emergency Haematology Medicine anyphylaxis blood products haemorrhage","DeterioratingPatientAx ChestPainAx FeverAx LowGCSAx SOBAx ALS AnaphylaxisMx TachycardiaMx TransfusionMx ABGAnalysis CXR ECG TransfusionConsent MEWSinfo NEWS2info OxygenDelivery","British Society for Haematology$$Guideline on the investigation and management of acute transfusion reactions 2023$$https://b-s-h.org.uk/guidelines/guidelines/guideline-on-the-investigation-and-management-of-acute-transfusion-reactions££National Institute for Health and Care Excellence$$Nice Guideline NG24 Blood transfusion 2015$$https://www.nice.org.uk/guidance/ng24/chapter/recommendations££British Medical Journal Best Practice$$Transfusion Reaction 2025$$https://bestpractice.bmj.com/topics/en-gb/1048","0","Flowchart describing key steps in the management of a suspected transfusion reaction"
"62","Upper GI Bleed Management","2","UpperGIBleedMx","Emergency Gastroenterology Haematology Medicine haematemesis liver haemorrhage OGD varices ulcer melena blood UGIB","DeterioratingPatientAx AbdoPainAx HaematemesisAx HaemoptysisAx AlcoholMx ALS INRMx IVFluidMx NauseaMx TransfusionMx TransfusionReactionMx AKI AXR ClottingProducts IVFluids TransfusionConsent VascularAnatomy APRIinfo AUDIT-Cinfo CAGEQUESTIONNAIREinfo CHILD-PUGHinfo FORRESTinfo GLASGOWBLATCHFORDinfo MELD-NAinfo MEWSinfo NEWS2info ROCKALLPOST-ENDOSCOPYinfo ROCKALLPRE-ENDOSCOPYinfo UKELDinfo WESTHAVENinfo DecompensatedCirrhosisMx","National Institute for Health and Care Excellence$$Acute upper gastrointestinal bleeding in over 16s: management 2016$$https://www.nice.org.uk/guidance/cg141/chapter/Recommendations££European Society of Gastrointestinal Endoscopy (ESGE) 2021$$Endoscopic diagnosis and management of nonvariceal upper gastrointestinal hemorrhage (NVUGIH): European Society of Gastrointestinal Endoscopy (ESGE) Guideline– Update 2021$$https://www.esge.com/assets/downloads/pdfs/guidelines/2021_a_1369_5274.pdf££European Society of Gastrointestinal Endoscopy (ESGE) 2022$$Endoscopic diagnosis and management of esophagogastric variceal hemorrhage 2022$$https://www.esge.com/assets/downloads/pdfs/guidelines/2022_a-1939-4887.pdf","0","Evidence based management strategy for upper gastrointestinal bleeding"
"63","VTE Prophylaxis","2","VTEProphylaxis","Haematology Orthopaedics Surgery Medicine LMWH thromboprophylaxis clots heparin DVT PE","DeterioratingPatientAx AbdoPainAx ChestPainAx ConfusionAx FallsAx FeverAx HaematuriaAx HaematemesisAx HaemoptysisAx HeadacheAx LegSwellingAx LowGCSAx LowUrineOutputAx PainfulLimbAx RectalBleedingAx SOBAx StrokeAx DVTPEMx EpistaxisMx INRMx VascularAnatomy ADJUSTEDBODYWEIGHTinfo AGE-ADJUSTEDD-DIMERinfo BMIinfo CHA2DS2-VAScScoreinfo HAS-BLEDScoreinfo IDEALBODYWEIGHTinfo","National Institute for Health and Care Excellence$$NICE guideline NG158 Venous thromboembolic diseases: diagnosis, management 2023$$https://www.nice.org.uk/guidance/ng158££National Institute for Health and Care Excellence$$NICE CKS Deep Vein Thrombosis 2025$$https://cks.nice.org.uk/topics/deep-vein-thrombosis/££European Society of Cardiology$$Guidelines on Acute Pulmonary Embolism (Diagnosis and Management of) 2019$$https://www.escardio.org/Guidelines/Clinical-Practice-Guidelines/Acute-Pulmonary-Embolism-Diagnosis-and-Management-of","0","Considerations and risk assessment of patients requiring venous thromboembolism prophylaxis"
"64","ABG Analysis","3","ABGAnalysis","Emergency Respiratory Medicine arterialbloodgas VBG alkalosis acidosis","DeterioratingPatientAx AbdoPainAx ChestPainAx ConfusionAx FeverAx HaematemesisAx HaemoptysisAx LowGCSAx SOBAx ACSMx AcuteAsthmaMx ALS AnaphylaxisMx BradycardiaMx COPDExacerbationMx DVTPEMx HeartFailureMx ParacetamolOverdoseMx PneumoniaMx PneumothoraxMx Sepsis6 TachycardiaMx TransfusionReactionMx CXR ECG 4PEPSinfo ANIONinfo ANIONCorrectedinfo BAP-65SCOREinfo GOLDinfo CURB-65info MEWSinfo NEWS2info SERUMOSMOLALITYinfo URINEANIONGAPinfo mSOFAinfo QSOFAinfo UpperGIBleedMx OxygenDelivery","Cowley N, Bion J$$Interpreting arterial blood gas results 2013$$https://www.bmj.com/content/346/bmj.f16££Resuscitation Council UK$$Introduction to arterial blood gas (ABG) interpretation 2020$$https://lms.resus.org.uk/modules/m35-v2-blood-gasses/10346/m35/t05/content/m35_t05_005sr.htm££Rogers J, Cadogan M$$Blood Gas Interpretation 2025$$https://litfl.com/acid-base-disorders/","0","Interpretation and normal values of arterial blood gas samples"
"65","Abdo X-ray","3","AXR","Emergency Gastroenterology Radiology Surgery AXR radiology","DeterioratingPatientAx AbdoPainAx HaematuriaAx HaematemesisAx LowUrineOutputAx RectalBleedingAx ConstipationMx NauseaMx CXR MSKXray AsciticFluidAnalysis ColitisMx AIRinfo ATLASSCORECDIFFinfo AlvaradoScoreinfo CDAIinfo HARVEY-BRADSHAWinfo TRUELOVEWITTSinfo","James B, Kelly B$$The abdominal radiograph 2013$$https://pubmed.ncbi.nlm.nih.gov/24505155/££Cadogan M$$AXR interpretation 2023$$https://litfl.com/axr-interpretation/££Wong J, Patel L, Curtis J$$Interpreting abdominal radiographs 2012$$https://www.bmj.com/content/345/sbmj.e5375","0","Systematic interpreation of abdominal X-rays"
"66","AKI","3","AKI","Medicine renalfailure acutekidneyinjury creatinine low urine output CKD","DeterioratingPatientAx AbdoPainAx HaematuriaAx LowUrineOutputAx Sepsis6 Gentamicin IVFluids BUNinfo CKD-EPIinfo CREATININECLEARANCEinfo FREEWATERDEFICITinfo KIDNEYFAILUREinfo","The Renal Assocaition$$Clinical Practice Guideline Acute Kidney Injury (AKI) 2019$$https://www.ukkidney.org/sites/renal.org/files/FINAL-AKI-Guideline.pdf££National Institute for Health and Care Excellence$$NICE CKS How should I assess a person with acute kidney injury? 2023$$https://cks.nice.org.uk/topics/acute-kidney-injury/diagnosis/assessment/££National Institute for Health and Care Excellence$$Acute kidney injury: prevention, detection and management 2024$$https://www.nice.org.uk/guidance/ng148/chapter/Recommendations","0","Staging and possible differential diagnoses of acute kidney injury"
"67","Ascitic Fluid Analysis","3","AsciticFluidAnalysis","Gastroenterology Microbiology Medicine Ascites paracetnesis tap SBP spontaneous bacterial peritonitis decompensated cirrhosis saag","AbdoPainAx FeverAx HeartFailureMx Sepsis6 AXR DecompensatedCirrhosisMx APRIinfo AUDIT-Cinfo CAGEQUESTIONNAIREinfo CHILD-PUGHinfo CLIF-CACLFinfo FIB-4info GLASGOW-IMRIEinfo KINGSCRITERIAinfo LILLEMODELinfo MADDREY'Sinfo MELD-NAinfo SAAGinfo UKELDinfo","British Society of Gastroenterology$$Guidelines on the Management of Ascites in Cirrhosis 2020$$https://www.bsg.org.uk/getattachment/996905b2-c070-4141-bfdd-f42238eeacab/gutjnl-2020-321790-full_.pdf?lang=en-US££Wilkinson I, Raine T, Wiles, K, Hately P, Kelly D, Mcgurgan I. 2024$$Oxford Handbook of Clinical Medicine (11 edn) 2024$$https://academic.oup.com/book/56266","0","Systematic intepretation of ascitic fluid"
"68","Capacity & Consent","3","CapacityConsent","Neurology Orthopaedics Geriatrics Surgery Medicine Ethics gillick fraser agree confusion","ConfusionAx LowGCSAx StrokeAx HeadInjury SedationMx TransfusionConsent 4ASDELERIUMinfo AMT-10info AMT-4info ASAinfo AWOLSCOREinfo GAD-7info HAMILTONANXIETYSCALEinfo MDIinfo PAINADVANCEDDEMENTIAinfo PHQ-9info","National Institute for Health and Care Excellence$$NICE guideline NG108 Decision-making and mental capacity 2018$$https://www.nice.org.uk/guidance/ng108/chapter/Recommendations££British Medical Association$$Ethics Toolkit Consent and refusal by adults with decision-making capacity 2024$$https://www.bma.org.uk/media/txrnpo3s/consent-and-refusal-by-adults-with-decision-making-capacity-guidance-updated-2025.pdf££NSPCC Learning$$Gillick competency and Fraser guidelines 2022$$https://learning.nspcc.org.uk/child-protection-system/gillick-competence-fraser-guidelines","0","Key steps in assessing a patient's capcity and in gaining consent for procedures"
"69","Chest X-Ray","3","CXR","Emergency Radiology Respiratory Medicine radiology CXR pneumonia effusion","DeterioratingPatientAx AbdoPainAx ChestPainAx FeverAx HaemoptysisAx SOBAx StrokeAx ACSMx AcuteAsthmaMx AnaphylaxisMx BradycardiaMx COPDExacerbationMx DVTPEMx HeartFailureMx PneumoniaMx PneumothoraxMx TachycardiaMx TransfusionReactionMx ABGAnalysis AXR MSKXray NGTube BISAPSCOREinfo GOLDinfo CURB-65info LIGHT'SCRITERIAinfo MEWSinfo NEWS2info NYHAinfo PEFRinfo PackYearsCalcinfo STOP-BANGinfo WELLSPEinfo PleuralFluidAnalysis OxygenDelivery","Dick E$$Chest X rays made easy 2000$$https://www.bmj.com/content/321/Suppl_S3/0009316££The Royal Colege of Radiologists$$Standards for interpretation and reporting of imaging investigations Second edition 2018$$https://www.rcr.ac.uk/our-services/all-our-publications/clinical-radiology-publications/standards-for-interpretation-and-reporting-of-imaging-investigations-second-edition/££World Health Organisation$$The WHO manual of diagnostic imaging: radiographic anatomy and interpretation of the chest and the pulmonary system 2018$$https://www.who.int/publications/i/item/9241546778","0","Systematic interpreation of chest X-rays"
"70","Clotting Products","3","ClottingProducts","Emergency Haematology Surgery Medicine haematology haemorrhage bleeding FFP cryoprecipitate fibrinogen transfusion blood","HaematuriaAx HaematemesisAx HaemoptysisAx RectalBleedingAx EpistaxisMx INRMx ParacetamolOverdoseMx HeadacheMx PreOp VascularAnatomy FORRESTinfo ISTHCRITERIAinfo ROCKALLPOST-ENDOSCOPYinfo ROCKALLPRE-ENDOSCOPYinfo","National Institute for Health and Care Excellence$$Nice Guideline NG24 Blood transfusion 2015$$https://www.nice.org.uk/guidance/ng24/chapter/recommendations££British Society for Haematology$$Haematological management of major haemorrhage 2023$$https://b-s-h.org.uk/guidelines/guidelines/haematological-management-of-major-haemorrhage-2022££Joint United Kingdom (UK) Blood Transfusion and Tissue Transplantation Services Professional Advisory Committee$$Transfusion guidelines 2025$$https://www.transfusionguidelines.org/","0","Information on blood products and the reversal of common anticoagulation agents"
"71","CSF Analysis","3","CSFAnalysis","Emergency Microbiology Neurology Medicine meningitis SAH headache lumbarpuncture cerebralspinalfluid","ConfusionAx FeverAx HeadacheAx LowGCSAx StrokeAx HeadacheMx ClottingProducts NeuroAnatomy NeuroExam GCSinfo GCSPUPILinfo OTTAWASAHRULEinfo","Nickson C$$CSF Analysis 2024$$https://litfl.com/csf-analysis/££Sofronescu A$$Cerebrospinal Fluid Analysis 2023$$https://emedicine.medscape.com/article/2093316-overview££Wilkinson I, Raine T, Wiles, K, Hately P, Kelly D, Mcgurgan I. 2024$$Oxford Handbook of Clinical Medicine (11 edn) 2024$$https://academic.oup.com/book/56266","0","Systematic intepretation of cerebral spinal fluid"
"72","ECG Analysis","3","ECG","Emergency Cardiology Endocrinology Respiratory Medicine heart arrythmia AF VT SVT bundle branch block","DeterioratingPatientAx AbdoPainAx ChestPainAx FallsAx FeverAx HaematuriaAx HaematemesisAx HaemoptysisAx LowGCSAx SOBAx StrokeAx ACSMx AcuteSeizureMx ALS AnaphylaxisMx BradycardiaMx HeartFailureMx HypercalcaemiaMx HyperkalemiaMx HypocalcaemiaMx HypokalemiaMx HypomagnesemiaMx HypophosphatemiaMx TachycardiaMx TransfusionReactionMx ABGAnalysis PreOp RefeedingSyndrome BRUGADACRITERIAinfo CORRECTEDQTinfo NYHAinfo SGARBOSSAMODIFIEDinfo VANCOUVERinfo WELLSPEinfo AFMx","Life in the Fastlane$$ECG Basics 2025$$https://litfl.com/ecg-library/basics/££Hampton J$$The ECG made easy 2008$$https://openlibrary.org/books/OL23674054M/The_ECG_made_easy££Wilkinson I, Raine T, Wiles, K, Hately P, Kelly D, Mcgurgan I. 2024$$Oxford Handbook of Clinical Medicine (11 edn) 2024$$https://academic.oup.com/book/56266","0","Systematic interpreation of electrocardiograms"
"73","Gentamicin","3","Gentamicin","Microbiology Medicine Antibiotics gram negative dosing monitoring","FeverAx Sepsis6 AKI Teicoplanin Vancomycin ADJUSTEDBODYWEIGHTinfo BUNinfo CKD-EPIinfo CREATININECLEARANCEinfo","British National Formulary$$Gentamicin 2025$$https://bnf.nice.org.uk/drugs/gentamicin/££Healthcare Improvement Scotland Right Decision Service$$Gentamicin Guideline 2025$$https://rightdecisions.scot.nhs.uk/antimicrobial-prescribing-nhs-fife/hospital-guidance/gentamicin-guideline/","0","Information on the initiation and monitoring of gentamicin"
"74","Insulin","3","Insulin","Endocrinology Medicine diabetes DKA HHS bm hyperglycaemia","HyperglycaemiaMx HypoglycaemiaMx PreOp FIB-4info PEDISinfo SODIUMCORRECTIONinfo STOP-BANGinfo SERUMOSMOLALITYinfo","British National Formulary$$Insulin 2025$$https://bnf.nice.org.uk/treatment-summaries/insulin/££National Institute for Health and Care Excellence$$NICE CKS Scenario: Insulin therapy - type 2 diabetes 2025$$https://cks.nice.org.uk/topics/insulin-therapy-in-type-2-diabetes/management/insulin-therapy-type-2-diabetes/££National Institute for Health and Care Excellence$$NICE CKS Scenario: Management of adults with type 1 diabetes 2024$$https://cks.nice.org.uk/topics/diabetes-type-1/management/management-adults/","0","Information on the range of insulin strategies"
"75","IV Fluid Types","3","IVFluids","Gastroenterology Surgery Medicine IVF saline hartmanns dextrose infusion","DeterioratingPatientAx AbdoPainAx ChestPainAx FallsAx HaematuriaAx HaematemesisAx HaemoptysisAx LegSwellingAx LowUrineOutputAx RectalBleedingAx StrokeAx BradycardiaMx HypercalcaemiaMx HyperglycaemiaMx HyperkalemiaMx HypocalcaemiaMx HypoglycaemiaMx HypokalemiaMx HypomagnesemiaMx HyponatremiaMx HypophosphatemiaMx IVFluidMx Sepsis6 TachycardiaMx AKI NGTube PreOp RefeedingSyndrome UpperGIBleedMx DecompensatedCirrhosisMx AKINCLASSIFICATIONinfo BMIinfo BSAinfo BUNinfo CKD-EPIinfo CREATININECLEARANCEinfo FREEWATERDEFICITinfo HYPONATRAEMIANADEFICIT-ADULTinfo IDEALBODYWEIGHTinfo KIDNEYFAILUREinfo MAPinfo SERUMOSMOLALITYinfo","National Institute for Health and Care Excellence$$NICE Clinical Guideline CG174 Intravenous fluid therapy in adults in hospital 2017$$https://www.nice.org.uk/guidance/cg174££British National Formulary$$Guidance on Intravenous Infusions 2025$$https://bnf.nice.org.uk/medicines-guidance/guidance-on-intravenous-infusions/££Health Improvement Scotland Right Decision Service$$Guidance for Intravenous fluid and electrolyte prescription in adults 2023$$https://rightdecisions.scot.nhs.uk/nhs-borders-clinical-guidelines/drugs-and-therapeutics/guidance-for-intravenous-fluid-and-electrolyte-prescription-in-adults/","0","Information on the differing options for intravenous fluid replacement"
"76","Joint Aspiration Analysis","3","JointAspirationAnalysis","Microbiology Orthopaedics Surgery gout septicarthritis red swollen","FeverAx LegSwellingAx PainfulLimbAx MSKAnatomy MSKXray ACR-EULARRAinfo ACUTEGOUTDIAGNOSISinfo","Nickson C$$Synovial fluid analysis 2023$$https://litfl.com/synovial-fluid-analysis/££Sofronescu A$$Joint Fluid Interpretation 2020$$https://emedicine.medscape.com/article/2172238-overview?form=fpf££Wilkinson I, Raine T, Wiles, K, Hately P, Kelly D, Mcgurgan I. 2024$$Oxford Handbook of Clinical Medicine (11 edn) 2024$$https://academic.oup.com/book/56266","0","Systematic intepretation of fluid aspirated from a joint"
